t,a,b,c,q0,q1,q2,q3,phi
0.755,0.2902248075010637,0.03914871014530748,0.15503564264225272,0.9861100474426528,0.14564160351268984,0.008113232705881658,0.07943345085013895,0.0151
0.76,0.29054152143796264,0.039888947345973674,0.1575146824576792,0.9859763253797237,0.14583543975548652,0.008285025233104336,0.08070978044145628,0.0152
0.765,0.29083964986509364,0.040634568804882094,0.16000903275039932,0.9858414298791895,0.14602100655545627,0.008458630447498727,0.08199385555783366,0.015300000000000001
0.77,0.29111943849678207,0.04138545994942207,0.16251844676366603,0.9857053262492809,0.14619843575786,0.008634028891690034,0.08328553734503312,0.0154
0.775,0.2913811377614459,0.04214150456727969,0.16504267413539425,0.9855679799090148,0.14636786119383288,0.00881120020690322,0.0845846850116522,0.015500000000000002
0.78,0.291625002801596,0.04290258480643783,0.16758146089816095,0.9854293564230424,0.14652941866696903,0.008990123099318093,0.08589115583951382,0.015600000000000001
0.785,0.2918512934738359,0.04366858117517612,0.17013454947920523,0.9852894215365818,0.14668324593972712,0.00917077530634671,0.08720480519428903,0.015700000000000002
0.79,0.2920602743488621,0.04443937254207096,0.17270167870042813,0.9851481412104149,0.14682948271965893,0.009353133562854393,0.08852548653635019,0.0158
0.795,0.292252214059201,0.04521483712852424,0.17528258445963163,0.9850054816558674,0.1469682703688053,0.009537174035699139,0.08985305183524511,0.0159
0.8,0.29242738538055546,0.04599485257678859,0.1778769997056458,0.9848614093603126,0.14709975193595914,0.00972287232318572,0.09118735157347933,0.016
0.805,0.29258606655955866,0.04677929388457233,0.18048465303573236,0.9847158911231054,0.14722407270441293,0.009910202446937855,0.09252823392573067,0.0161
0.81,0.2927285399480621,0.04756803533278987,0.1831052700739743,0.9845688940947227,0.1473413795923238,0.010099137728346854,0.09387554558067303,0.016200000000000003
0.8150000000000001,0.29285509197412884,0.048360950528022986,0.18573857350103923,0.9844203858082833,0.14745182112924987,0.010289650776558025,0.09522913176982681,0.016300000000000002
